title,genres,averageRating,numVotes,releaseYear
Black Sun,"Crime, Drama, Thriller","8,8",13311,2017
Not Me,"Action, Crime, Romance","8,8",12630,2021
Peaky Blinders,"Crime, Drama","8,7",711298,2013
Black Mirror,"Crime, Drama, Mystery","8,7",692896,2011
House,"Drama, Mystery","8,7",558260,2004
Narcos,"Biography, Crime, Drama","8,7",500986,2015
Dark,"Crime, Drama, Mystery","8,7",491381,2017
South Park,"Animation, Comedy","8,7",422632,1997
Severance,"Drama, Mystery, Sci-Fi","8,7",316165,2022
Mad Men,Drama,"8,7",275089,2007
Invincible,"Action, Adventure, Animation","8,7",274510,2021
Downton Abbey,"Drama, Romance","8,7",234713,2010
Twin Peaks,"Crime, Drama, Mystery","8,7",231601,1990
Fleabag,"Comedy, Drama","8,7",226946,2016
One Punch Man,"Action, Animation, Comedy","8,7",201698,2015
Naruto: Shippuden,"Action, Adventure, Animation","8,7",197873,2007
Rome,"Action, Drama, Romance","8,7",194995,2005
Battlestar Galactica,"Action, Adventure, Drama","8,7",182250,2004
This Is Us,"Comedy, Drama, Romance","8,7",167985,2016
Six Feet Under,"Comedy, Drama","8,7",158783,2001
The Marvelous Mrs. Maisel,"Comedy, Drama","8,7",151027,2017
Star Trek: The Next Generation,"Action, Adventure, Drama","8,7",143729,1987
1883,"Drama, Western","8,7",142558,2021
Top Gear,"Adventure, Sport, Talk-Show","8,7",132490,2002
Oz,"Crime, Drama, Thriller","8,7",112249,1997
The Family Man,"Action, Comedy, Drama","8,7",103995,2019
The Shield,"Crime, Drama, Thriller","8,7",93020,2002
Blue Eye Samurai,"Action, Adventure, Animation","8,7",91085,2023
Code Geass,"Action, Animation, Drama","8,7",91051,2006
The Grand Tour,"Comedy, Sport, Talk-Show","8,7",90769,2016
Over the Garden Wall,"Adventure, Animation, Comedy","8,7",80256,2014
Friday Night Lights,"Drama, Sport","8,7",76089,2006
Line of Duty,"Crime, Drama, Mystery","8,7",75781,2012
Peep Show,Comedy,"8,7",70562,2003
Berserk,"Action, Adventure, Animation","8,7",65881,1997
Monster,"Animation, Crime, Drama","8,7",56940,2004
Crash Landing on You,"Adventure, Comedy, Drama","8,7",50933,2019
X-Men '97,"Action, Adventure, Animation","8,7",44947,2024
Haikyu!!,"Animation, Comedy, Drama","8,7",44893,2014
Mr Inbetween,"Comedy, Crime, Drama","8,7",40411,2018
Lonesome Dove,"Adventure, Drama, Western","8,7",28089,1989
The Thick of It,Comedy,"8,7",28033,2005
The Adventures of Sherlock Holmes,"Crime, Drama, Mystery","8,7",26031,1984
Justice League Unlimited,"Action, Adventure, Animation","8,7",23239,2004
Alchemy of Souls,"Action, Drama, Fantasy","8,7",23040,2022
Gintama,"Action, Animation, Comedy","8,7",18275,2005
Campus Diaries,"Comedy, Drama, Romance","8,7",17560,2022
The Bureau,"Drama, Thriller","8,7",16989,2015
Homicide: Life on the Street,"Crime, Drama, Mystery","8,7",16041,1993
How to with John Wilson,"Comedy, Documentary","8,7",15564,2020
El Chavo del Ocho,"Comedy, Family","8,7",15003,1972
Pew News,"Comedy, News","8,7",14739,2018
The Return of Sherlock Holmes,"Crime, Drama, Mystery","8,7",14601,1986
Content Cop,"Comedy, Crime, Talk-Show","8,7",12595,2015
Mr. Sunshine,"Action, Drama, History","8,7",12336,2018
Umbre,"Crime, Drama, Thriller","8,7",12294,2014
The Untamed,"Action, Adventure, Drama","8,7",11409,2019
Mind Your Language,Comedy,"8,7",10224,1977
Mister Rogers' Neighborhood,"Family, Fantasy, Music","8,7",10024,1968
Stranger Things,"Drama, Fantasy, Horror","8,6",1444877,2016
Dexter,"Crime, Drama, Mystery","8,6",843577,2006
The Boys,"Action, Comedy, Crime","8,6",777060,2019
The Last of Us,"Action, Adventure, Drama","8,6",653942,2023
The Mandalorian,"Action, Adventure, Fantasy","8,6",624699,2019
House of Cards,Drama,"8,6",546872,2013
Daredevil,"Action, Crime, Drama","8,6",505456,2015
The Simpsons,"Animation, Comedy","8,6",453414,1989
Mindhunter,"Crime, Drama, Mystery","8,6",367392,2017
Arrested Development,Comedy,"8,6",334698,2003
Parks and Recreation,Comedy,"8,6",302832,2009
Yellowstone,"Drama, Western","8,6",274890,2018
The Crown,"Biography, Drama, History","8,6",270206,2016
The X-Files,"Adventure, Crime, Drama","8,6",262392,1993
Shōgun,"Action, Adventure, Drama","8,6",216775,2024
Boardwalk Empire,"Crime, Drama","8,6",211163,2010
The Penguin,"Crime, Drama","8,6",194561,2024
Demon Slayer: Kimetsu no Yaiba,"Action, Adventure, Animation","8,6",187168,2019
Archer,"Action, Animation, Comedy","8,6",171543,2009
Mr. Bean,"Comedy, Family","8,6",142655,1990
The Newsroom,Drama,"8,6",130301,2012
Justified,"Action, Crime, Drama","8,6",125180,2010
Deadwood,"Crime, Drama, History","8,6",123642,2004
Adventure Time,"Action, Adventure, Animation","8,6",123334,2010
What We Do in the Shadows,"Comedy, Fantasy, Horror","8,6",118852,2019
Atlanta,"Comedy, Drama, Music","8,6",94267,2016
Dopesick,Drama,"8,6",86371,2021
The Bridge,"Crime, Mystery, Thriller","8,6",81000,2011
Solo Leveling,"Action, Adventure, Animation","8,6",76197,2024
Anne with an E,"Drama, Family","8,6",73992,2017
Regular Show,"Action, Adventure, Animation","8,6",66739,2010
The Jinx: The Life and Deaths of Robert Durst,"Biography, Crime, Documentary","8,6",56271,2015
Poirot,"Crime, Drama, Mystery","8,6",55764,1989
Blackadder II,Comedy,"8,6",52194,1986
Impractical Jokers,"Comedy, Reality-TV","8,6",49185,2011
Blackadder the Third,Comedy,"8,6",49182,1987
Young Justice,"Action, Adventure, Animation","8,6",48610,2010
Gomorrah,"Crime, Drama, Thriller","8,6",47498,2014
Father Ted,Comedy,"8,6",46177,1995
The Offer,"Biography, Crime, Drama","8,6",45984,2022
Skam,"Drama, Romance","8,6",40991,2015
It's Okay to Not Be Okay,"Comedy, Drama, Romance","8,6",40931,2020
Ezel,"Crime, Drama, Thriller","8,6",40765,2009
It's a Sin,Drama,"8,6",39299,2021
Special OPS,"Action, Crime, Thriller","8,6",38940,2020
The Bugs Bunny Show,"Animation, Comedy","8,6",36964,1960
Endeavour,"Crime, Drama, Mystery","8,6",36049,2012
Pose,Drama,"8,6",35089,2018
QI,"Comedy, Game-Show","8,6",34899,2003
Call the Midwife,"Drama, History","8,6",33609,2012
Extraordinary Attorney Woo,Drama,"8,6",33260,2022
Guardian: The Lonely and Great God,"Comedy, Drama, Fantasy","8,6",33202,2016
Letterkenny,Comedy,"8,6",32428,2016
Scavengers Reign,"Adventure, Animation, Drama","8,6",29882,2023
The Venture Bros.,"Action, Adventure, Animation","8,6",29504,2003
Mystery Science Theater 3000,"Comedy, Sci-Fi","8,6",27048,1988
Permanent Roommates,"Comedy, Romance","8,6",26690,2014
Wentworth,"Crime, Drama, Thriller","8,6",26160,2013
Primal,"Action, Adventure, Animation","8,6",24801,2019
Detectorists,Comedy,"8,6",23946,2014
I'm Alan Partridge,Comedy,"8,6",23125,1997
Avrupa Yakasi,Comedy,"8,6",22870,2004
The Owl House,"Action, Adventure, Animation","8,6",22754,2020
Lucky Guy,"Comedy, Drama, Fantasy","8,6",22058,2023
Isler Güçler,Comedy,"8,6",21740,2012
My Brilliant Friend,Drama,"8,6",21619,2018
All Creatures Great & Small,"Comedy, Drama","8,6",20029,2020
Bandish Bandits,"Drama, Music, Romance","8,6",19831,2020
Foyle's War,"Crime, Drama, Mystery","8,6",19706,2002
Through the Wormhole,Documentary,"8,6",19134,2010
Yes Minister,Comedy,"8,6",18024,1980
Kardes Payi,Comedy,"8,6",17994,2014
Twenty Five Twenty One,"Drama, Romance","8,6",17944,2022
Rurouni Kenshin: Trust and Betrayal,"Action, Adventure, Animation","8,6",17368,1999
Broken But Beautiful,"Drama, Romance","8,6",17313,2018
Long Way Round,"Adventure, Documentary","8,6",16294,2004
Tear Along the Dotted Line,"Animation, Comedy, Drama","8,6",15673,2021
Hilda,"Adventure, Animation, Drama","8,6",15188,2018
Mouse,"Action, Crime, Mystery","8,6",14495,2021
The Great British Baking Show,"Game-Show, Reality-TV","8,6",14223,2010
"Yes, Prime Minister",Comedy,"8,6",14078,1986
Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy","8,6",13541,2016
Mr. Queen,"Comedy, Fantasy, Romance","8,6",13112,2020
Greatest Events of WWII in Colour,"Documentary, History, War","8,6",12594,2019
Brass Eye,Comedy,"8,6",12287,1997
Very Parivarik,Comedy,"8,6",11563,2024
Lovely Runner,"Comedy, Fantasy, Music","8,6",11106,2024
Hunter x Hunter,"Action, Adventure, Animation","8,6",10983,1999
Shoresy,"Action, Comedy, Drama","8,6",10845,2022
