title,genres,averageRating,numVotes,releaseYear
Dogville,"Crime, Drama",8,164067,2003
Roman Holiday,"Comedy, Drama, Romance",8,153131,1953
Stalker,"Drama, Sci-Fi",8,151297,1979
Bowling for Columbine,"Crime, Documentary, Drama",8,150777,2002
Baahubali: The Beginning,"Action, Drama",8,144804,2015
Papillon,"Biography, Crime, Drama",8,142285,1973
Persona,"Drama, Thriller",8,136178,1966
Infernal Affairs,"Crime, Drama, Mystery",8,134843,2002
The 400 Blows,"Crime, Drama",8,131456,1959
8½,Drama,8,129260,1963
Do the Right Thing,"Comedy, Drama",8,118579,1989
Elite Squad,"Action, Crime, Drama",8,114993,2007
The Diving Bell and the Butterfly,"Biography, Drama",8,111743,2007
Perfect Blue,"Animation, Crime, Drama",8,107864,1997
The Straight Story,"Biography, Drama",8,104119,1999
Persepolis,"Animation, Biography, Drama",8,102912,2007
The Night of the Hunter,"Crime, Drama, Film-Noir",8,102648,1955
Sling Blade,Drama,8,101867,1996
The Celebration,Drama,8,97620,1998
Farha,Drama,8,90391,2021
Elite Squad 2: The Enemy Within,"Crime, Drama, Thriller",8,89541,2010
"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",8,88965,2003
Pink Floyd: The Wall,"Drama, Fantasy, Music",8,87836,1982
The Sea Inside,"Biography, Drama",8,86974,2004
La Dolce Vita,"Comedy, Drama",8,82549,1960
Who's Afraid of Virginia Woolf?,Drama,8,82375,1966
Dilwale Dulhania Le Jayenge,"Drama, Romance",8,80114,1995
Dil Chahta Hai,"Comedy, Drama, Romance",8,77877,2001
Sicko,"Documentary, Drama",8,77705,2007
Anatomy of a Murder,"Drama, Mystery",8,75185,1959
The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",8,73480,1920
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",8,71860,2016
The Legend of 1900,"Drama, Music, Romance",8,71466,1998
Rio Bravo,Western,8,71011,1959
G.O.R.A.,"Adventure, Comedy, Sci-Fi",8,69335,2004
La Strada,Drama,8,68310,1954
Song of the Sea,"Adventure, Animation, Drama",8,65781,2014
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",8,64923,1962
Mommy,Drama,8,63974,2014
Underground,"Comedy, Drama, Fantasy",8,62803,1995
Le Samouraï,"Crime, Drama, Thriller",8,62440,1967
Waltz with Bashir,"Animation, Biography, Documentary",8,61745,2008
Special 26,"Crime, Drama, History",8,60848,2013
Haider,"Action, Crime, Drama",8,59438,2014
Citizenfour,"Biography, Documentary",8,59083,2014
Andrei Rublev,"Biography, Drama, History",8,58965,1966
The Tale of The Princess Kaguya,"Animation, Drama, Family",8,58266,2013
Throne of Blood,Drama,8,58109,1957
"Black Cat, White Cat","Comedy, Crime, Romance",8,57686,1998
Winter Sleep,Drama,8,57514,2014
Andaz Apna Apna,"Action, Comedy, Romance",8,56701,1994
Departures,Drama,8,56355,2008
The Last Picture Show,"Drama, Romance",8,55006,1971
Lage Raho Munna Bhai,"Comedy, Drama, Romance",8,51923,2006
Fiddler on the Roof,"Drama, Family, Musical",8,50031,1971
Pink,"Crime, Drama, Thriller",8,50003,2016
Secrets & Lies,"Comedy, Drama",8,49628,1996
Central Station,Drama,8,47875,1998
Brief Encounter,"Drama, Romance",8,46556,1945
The Hidden Fortress,"Adventure, Drama",8,44019,1958
Sanjuro,"Action, Drama, Thriller",8,42760,1962
Out of the Past,"Crime, Drama, Film-Noir",8,42657,1947
Wolfwalkers,"Action, Adventure, Animation",8,41935,2020
Going Clear: Scientology & the Prison of Belief,Documentary,8,41807,2015
Tae Guk Gi: The Brotherhood of War,"Action, Drama, War",8,41800,2004
Ivan's Childhood,"Drama, War",8,41740,1962
The Shop Around the Corner,"Comedy, Drama, Romance",8,41589,1940
Kind Hearts and Coronets,"Comedy, Crime",8,40795,1949
"Quo Vadis, Aida?","Drama, History, War",8,40498,2020
