Pelicula,Año de estreno,Ganancia
One Flew Over the Cuckoo's Nest,1975,-10318013.502
(500) Days of Summer,2009,-6061024.494
Spider-Man,2002,-1550520.3900000006
Brooklyn,2015,-3548345.5189
Dr. No,1962,25751788.707999997
Indiana Jones and the Kingdom of the Crystal Skull,2008,55945845.146000005
The Hangover,2009,-18923238.909999996
Let's Be Cops,2014,-1798202.68839
Gattaca,1997,39159239.97048
Kung Fu Panda,2008,-6131864.461999999
Crazy Stupid Love.,2011,11565488.792999998
E.T. the Extra-Terrestrial,1982,-10444950.447
A Good Day to Die Hard,2013,-2453009.641
Love Actually,2003,-5436482.767750001
Mulan,1998,356039.84300000034
When Harry Met Sally...,1989,297889.42899999995
Psycho,1960,-9183921.719069999
Groundhog Day,1993,737387.0359999998
Pearl Harbor,2001,-144716.85599999968
The Spy Who Loved Me,1977,5968453.2139
Mission: Impossible II,2000,-12247334.535999998
Transporter 3,2008,420710621.70000005
Shame,2011,555705651.6
Percy Jackson & the Olympians: The Lightning Thief,2010,501779614.29999995
Mythica: The Necromancer,2015,54104793.45
A Merry Friggin' Christmas,2014,577616408.9000001
The Mortal Instruments: City of Bones,2013,649479526.4000001
The Pink Panther 2,2009,448668464.3000001
Unstoppable,2010,202230797.79
Epic,2013,289517211.07
Vice,2015,78490860.48
The Magnificent Seven,1960,284000338.0
The Little Prince,2015,132469386.14999999
Shrek the Third,2007,204873015.70000002
Planet of the Apes,2001,187670362.68
The Ugly Truth,2009,456861161.2
National Lampoon's Christmas Vacation,1989,389953165.27
The Royal Tenenbaums,2001,324408268.09999996
The Prince of Egypt,1998,79277854.47
Brother Bear 2,2006,27814386.338000003
Cloudy with a Chance of Meatballs,2009,32698732.300000012
The Return of Jafar,1994,133190058.88000001
Heat,1995,9849312.262
Blow,2001,495731203.6
Spaceballs,1987,126494113.81
Sweeney Todd: The Demon Barber of Fleet Street,2007,59544259.809999995
Die Another Day,2002,465811800.8
Valkyrie,2008,177348027.8
War of the Worlds,2005,-30114910.709999997
Ice Age: A Mammoth Christmas,2011,445354360.31
True Lies,1994,117928971.0
10000 BC,2008,339952664.20000005
Alvin and the Chipmunks: The Road Chip,2015,532768622.9
Aladdin and the King of Thieves,1996,16170784.1
