ATL
477323,484570,483334,491826,482903,479957,469542,454954,457501,448180,428954
473249,480171,478735,486799,478627,475882,465911,453734,455968,445498,428312
BOS
188413,190420,187003,183078,170491,162271,164933,168358,161639,167549,170013
184869,185755,182418,179565,166566,160775,162520,164961,158227,164108,165166
CLE
122511,122375,117753,114795,111315,95317,91769,89033,85359,85240,60369
121774,121467,116801,114523,111455,95461,91615,89039,85279,84805,60247
JFK
151115,164971,180139,210060,208347,201184,192101,197805,194788,196105,206239
148127,162914,178673,209898,207144,199397,190038,196354,193893,193781,205660
LAS
196424,212089,216984,223643,207552,183201,174475,181828,179153,177409,181578
196144,212329,217891,225495,208196,183116,174562,181770,180035,179793,181929
MEM
173254,176691,172206,170568,166979,153914,152842,139824,118834,100394,100394
169818,173030,169053,166269,163455,153422,151357,138518,117676,99057,99057
MIA
154709,153661,155326,153621,148383,145748,155714,164184,162815,166455,168629
144138,143341,149223,149731,140270,134669,145274,155362,157000,159690,164346
PHL
225283,252534,241870,232583,229700,220842,214485,213255,211377,206945,200550
224381,250524,240724,233078,230105,220753,214971,213163,211189,206032,200637
SAN
96361,102281,102803,106794,103786,91757,87436,85528,86058,86848,90092
95914,101518,102972,107009,104107,92101,87619,85655,86414,87415,90007
VNY
1331,5235,6142,6179,4282,2986,3420,4134,4753,6096,7412
1301,5169,6112,6349,4469,3005,3500,4134,4787,6165,7573
